Description,Price,Rating,Review Count,Url
Men's Moab 2 Vent Hiking Shoe,$59.99,4.6 out of 5 stars,"21,257",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06753613BHLYNERU5GQM&qualifier=1672289344&id=3019139232996159&widgetName=sp_atf&url=%2FMerrell-Moab-Ventilator-Width-Walnut%2Fdp%2FB07KKLHMRN%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-1-spons%26psc%3D1
Women's Moab 2 Vent Hiking Shoe,$59.26,4.6 out of 5 stars,"11,641",https://www.amazon.com/Merrell-Womens-Moab-Hiking-Smoke/dp/B01HFPQH5O/ref=sr_1_2?keywords=hiking+shoes&qid=1672289344&sr=8-2
Men's Moab 2 Waterproof Hiking Shoe,$74.70,4.5 out of 5 stars,"9,670",https://www.amazon.com/Merrell-Mens-Waterproof-Hiking-Beluga/dp/B01HFA6XQM/ref=sr_1_3?keywords=hiking+shoes&qid=1672289344&sr=8-3
Men's Moab 2 Mid Waterproof Hiking Boot,$74.06,4.6 out of 5 stars,"13,638",https://www.amazon.com/Merrell-Mens-Waterproof-Hiking-Earth/dp/B01HFKL574/ref=sr_1_4?keywords=hiking+shoes&qid=1672289344&sr=8-4
Men's Moab 2 Vent Hiking Shoe,$59.99,4.6 out of 5 stars,"10,357",https://www.amazon.com/Merrell-Mens-Hiking-Black-Night/dp/B01HFAAJLW/ref=sr_1_5?keywords=hiking+shoes&qid=1672289344&sr=8-5
Women's Newton Ridge Plus Hiking Shoe,$59.99,4.6 out of 5 stars,"23,316",https://www.amazon.com/Columbia-Womens-Newton-Hiking-Regular/dp/B006A1EZ4U/ref=sr_1_6?keywords=hiking+shoes&qid=1672289344&sr=8-6
Terrex Ax4 Shoes,$74.38,4.3 out of 5 stars,"1,308",https://www.amazon.com/adidas-Terrex-Primegreen-Hiking-Shoes/dp/B0942336K8/ref=sr_1_7?keywords=hiking+shoes&qid=1672289344&sr=8-7
Men's Moab 2 Vent Hiking Shoe,$62.87,4.6 out of 5 stars,"21,257",https://www.amazon.com/Merrell-Mens-Moab-Hiking-Walnut/dp/B01HFPP89A/ref=sr_1_8_mod_primary_new?keywords=hiking+shoes&qid=1672289344&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-8
Men's Core Alverstone Hiking Shoe,$89.00,4.5 out of 5 stars,"1,441",https://www.amazon.com/Merrell-Alverstone-Hiking-Granite-Keylime/dp/B08D63PBW3/ref=sr_1_9?keywords=hiking+shoes&qid=1672289344&sr=8-9
Men's Newton Ridge Plus Ii Waterproof Hiking Boot Shoe,$75.00,4.5 out of 5 stars,"27,458",https://www.amazon.com/Columbia-Newton-Waterproof-Hiking-Cordovan/dp/B00KWK83PC/ref=sr_1_10?keywords=hiking+shoes&qid=1672289344&sr=8-10
Women's Newton Ridge Plus Waterproof Amped Hiking Shoe,$59.99,4.7 out of 5 stars,"5,757",https://www.amazon.com/Columbia-Womens-Newton-Waterproof-Mountain/dp/B073RNC143/ref=sr_1_11?keywords=hiking+shoes&qid=1672289344&sr=8-11
Women's Targhee 3 Low Height Waterproof Hiking Shoe,$55.38,4.4 out of 5 stars,"1,861",https://www.amazon.com/Keen-Womens-Targhee-Weiss-Boysenberry/dp/B077QG321X/ref=sr_1_12?keywords=hiking+shoes&qid=1672289344&sr=8-12
"Men's Newton Ridge Plus II Suede Waterproof Boot, Breathable with High-Traction Grip",$74.99,4.6 out of 5 stars,"10,763",https://www.amazon.com/Columbia-Newton-Waterproof-Mountain-Regular/dp/B073RPHFGJ/ref=sr_1_13?keywords=hiking+shoes&qid=1672289344&sr=8-13
Men's Terrex Ax3 Hiking Boot,$58.05,4.5 out of 5 stars,"6,520",https://www.amazon.com/adidas-outdoor-Terrex-Hiking-Black/dp/B07FBJTW6F/ref=sr_1_14?keywords=hiking+shoes&qid=1672289344&sr=8-14
Women's Core Alverstone Hiking Shoe,$53.99,4.5 out of 5 stars,765,https://www.amazon.com/Merrell-Womens-ALVERSTONE-Hiking-Storm/dp/B082Y32DZP/ref=sr_1_15?keywords=hiking+shoes&qid=1672289344&sr=8-15
Men's Trailstorm Mid Waterproof Hiking Shoe,$52.47,4.3 out of 5 stars,"1,173",https://www.amazon.com/Columbia-Trailstorm-Waterproof-Graphite-Creek/dp/B089FD6SNF/ref=sr_1_16?keywords=hiking+shoes&qid=1672289344&sr=8-16
Women's Minimalist Trail Running Barefoot Shoes | Wide Toe Box | Zero Drop,$41.99,4.4 out of 5 stars,"18,125",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08997133BZSEMSECPZDB&qualifier=1672289344&id=3019139232996159&widgetName=sp_mtf&url=%2FJOOMRA-Running-Trekking-Barefoot-Deportivos%2Fdp%2FB08J6H17MN%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-17-spons%26psc%3D1
Women's MOAB 2 WTPF Hiking Shoe,$62.47,4.5 out of 5 stars,"3,232",https://www.amazon.com/Merrell-Womens-Waterproof-Hiking-Drizzle/dp/B01HFPCH2Q/ref=sr_1_18?keywords=hiking+shoes&qid=1672289344&sr=8-18
"Women's Newton Ridge Plus Waterproof Amped, Elk/Mountain Red, 8",$89.35,4.7 out of 5 stars,"1,362",https://www.amazon.com/Columbia-Womens-Newton-Mountain-Regular/dp/B01HEH31OI/ref=sr_1_19?keywords=hiking+shoes&qid=1672289344&sr=8-19
Women's Norwood Mid Waterproof Hiking Boot,$48.90,4.5 out of 5 stars,"2,408",https://www.amazon.com/Timberland-Womens-Norwood-Waterproof-Hiking/dp/B00N22Q0FM/ref=sr_1_20?keywords=hiking+shoes&qid=1672289344&sr=8-20
Women's Newton Ridge Plus Waterproof Amped Hiking Boot Shoe,$65.99,4.7 out of 5 stars,"2,215",https://www.amazon.com/Columbia-Womens-Newton-Waterproof-Vintage/dp/B096N7RYXT/ref=sr_1_21_mod_primary_new?keywords=hiking+shoes&qid=1672289344&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-21
Hiking Shoes for Men Water Resistant & Lightweight All Day Comfort Size 7.5-13,$44.99,4.4 out of 5 stars,176,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02279032S5E0XTL0W7O1&qualifier=1672289344&id=3019139232996159&widgetName=sp_mtf&url=%2FCC-Los-Hiking-Resistant-Lightweight-Comfort%2Fdp%2FB0B251QLRM%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-22-spons%26psc%3D1
Men's Hiking Shoes Waterproof Wide Toe Extre Grip & Durable Multi Purpose,$59.98,4.5 out of 5 stars,22,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00427352FX89N9G52PVK&qualifier=1672289344&id=3019139232996159&widgetName=sp_mtf&url=%2FGrand-Attack-Waterproof-Lightweight-Trekking%2Fdp%2FB0B7DMWRWV%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-23-spons%26psc%3D1
Men's Trail Running Shoes Waterproof Hiking Shoes Cushioning Outdoor Walking Sneakers All Terrain Trekking Rugged Trail,$37.99,4.1 out of 5 stars,52,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0593941K3GPQW0VHDNY&qualifier=1672289344&id=3019139232996159&widgetName=sp_mtf&url=%2FRunning-Waterproof-Cushioning-Sneakers-Trekking%2Fdp%2FB0BF98MGDR%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-24-spons%26psc%3D1
Men's Waterproof Hiking Shoes Suede Leather Low Top Lightweight Breathable Non-Slip Hiking Shoes for Men Outdoor Trekking Camping Trail,$59.99,4.1 out of 5 stars,134,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A073195632W4M4OKDE361&qualifier=1672289344&id=3019139232996159&widgetName=sp_mtf&url=%2FSILENTCARE-Waterproof-Lightweight-Breathable-Gray-Orange%2Fdp%2FB0B2QJ3V1H%2Fref%3Dsr_1_25_sspa%3Fkeywords%3Dhiking%2Bshoes%26qid%3D1672289344%26sr%3D8-25-spons%26psc%3D1
Men's Moab 2 Vent Mid Hiking Boot,$98.64,4.6 out of 5 stars,"9,073",https://www.amazon.com/Merrell-Mens-Moab-Hiking-Walnut/dp/B01HFA7DCA/ref=sr_1_26?keywords=hiking+shoes&qid=1672289344&sr=8-26
Men's Moab 3 Hiking Shoe,$64.95,4.6 out of 5 stars,377,https://www.amazon.com/Merrell-Mens-Moab-Hiking-Walnut/dp/B098KHW1V7/ref=sr_1_27?keywords=hiking+shoes&qid=1672289344&sr=8-27
"Men's Climbing Shoes, US:10.5",$54.00,4.4 out of 5 stars,"3,690",https://www.amazon.com/adidas-outdoor-Terrex-Hiking-Black/dp/B07FBJDQJY/ref=sr_1_28?keywords=hiking+shoes&qid=1672289344&sr=8-28
Men's White Ledge Mid Waterproof Ankle Boot,$72.24,4.5 out of 5 stars,"58,288",https://www.amazon.com/Timberland-White-Ledge-Waterproof-Brown/dp/B000VX4WRI/ref=sr_1_29?keywords=hiking+shoes&qid=1672289344&sr=8-29
